id,result,year,school_id,subject_id
26726,57,2015,6167,8
26727,52,2015,6167,4
26728,45,2015,6167,1
26729,62,2015,6167,11
26730,43,2015,6167,7
26731,65,2015,6167,2
26732,53,2015,6167,3
26733,53,2015,6167,9
26734,64,2015,6167,6
29176,53,2015,6167,3
29177,52,2015,6167,4
29178,65,2015,6167,2
29179,53,2015,6167,9
29180,43,2015,6167,7
29181,64,2015,6167,6
29182,45,2015,6167,1
29183,57,2015,6167,8
29184,62,2015,6167,11
32175,52,2015,6167,4
32176,43,2015,6167,7
32177,53,2015,6167,3
32178,53,2015,6167,9
32179,57,2015,6167,8
32180,64,2015,6167,6
32181,65,2015,6167,2
32182,62,2015,6167,11
32183,45,2015,6167,1
59241,75.57,2015,8128,2
59242,57,2015,8128,1
59243,57.06,2015,8128,8
59244,66.33,2015,8129,2
59245,52.61,2015,8129,1
59246,60.52,2015,8129,8
59247,45.5,2015,8129,7
59248,66.5,2015,8129,10
59249,72.5,2015,8130,2
59250,56.33,2015,8130,1
59251,58.8,2015,8130,8
59252,64.12,2015,8130,5
59253,59.66,2015,8130,7
59254,61.83,2015,8130,6
59255,56.5,2015,8130,3
59256,62.45,2015,8130,9
59257,61.3,2015,8130,4
59258,79.47,2015,8131,2
59259,48.54,2015,8131,1
59260,61.2,2015,8131,8
59261,52,2015,8131,7
59262,63,2015,8131,9
59263,60.25,2015,8131,3
59264,58.83,2015,8131,4
59265,65.61,2015,8132,2
59266,49.33,2015,8132,1
59267,58.3,2015,8132,8
59268,48.75,2015,8132,4
59269,49.25,2015,8132,7
59270,64.57,2015,8133,2
59271,35.61,2015,8133,1
59272,54.3,2015,8133,8
59273,71.87,2015,8134,2
59274,51.87,2015,8134,1
59275,54.16,2015,8134,8
59276,55,2015,8134,7
59277,70.23,2015,8135,2
59278,64.82,2015,8135,1
59279,56.2,2015,8135,8
59280,65.83,2015,8135,7
59281,63.27,2015,8136,2
59282,38.11,2015,8136,1
59283,47.25,2015,8136,8
59284,46.25,2015,8136,7
59285,74.76,2015,8137,2
59286,52.28,2015,8137,1
59287,70.2,2015,8137,8
59288,70.25,2015,8137,5
59289,56.11,2015,8137,7
59290,64,2015,8137,9
59291,61.14,2015,8137,3
59292,68.22,2015,8137,4
59293,77.64,2015,8138,2
59294,67.94,2015,8138,1
59295,68.4,2015,8138,8
59296,72,2015,8138,5
59297,62.32,2015,8138,7
59298,78.71,2015,8138,6
59299,65.6,2015,8138,3
59300,78.12,2015,8138,9
59301,49.85,2015,8138,4
59302,66.22,2015,8141,2
59303,43.87,2015,8141,1
59304,54,2015,8141,8
59305,45.58,2015,8141,7
59306,65.5,2015,8141,9
59307,43.5,2015,8141,3
59308,44.11,2015,8141,4
59309,61.29,2015,8143,2
59310,46.85,2015,8143,1
59311,52.85,2015,8143,8
59312,40,2015,8143,4
59313,52.07,2015,8143,7
59314,66.95,2015,8144,2
59315,52.08,2015,8144,1
59316,55.41,2015,8144,8
59317,53,2015,8144,7
59318,62.25,2015,8144,6
59319,54.2,2015,8144,9
59320,53.5,2015,8144,4
59321,74.56,2015,8145,2
59322,51.67,2015,8145,1
59323,60.58,2015,8145,8
59324,49.33,2015,8145,4
59325,59.5,2015,8145,7
59326,62.08,2015,8146,2
59327,40.78,2015,8146,1
59328,51.57,2015,8146,8
59329,48.21,2015,8146,7
59330,44.85,2015,8146,9
59331,63.5,2015,8146,3
59332,51.27,2015,8146,4
59333,64.31,2015,8147,2
59334,53.83,2015,8147,1
59335,60.75,2015,8147,8
59336,44.5,2015,8147,4
59337,50.16,2015,8147,7
59338,67.64,2015,8148,2
59339,48.3,2015,8148,1
59340,56.73,2015,8148,8
59341,36,2015,8148,4
59342,49.87,2015,8148,7
59343,59.04,2015,8149,2
59344,40.08,2015,8149,1
59345,49.6,2015,8149,8
59346,34.8,2015,8149,4
59347,48.28,2015,8149,7
59348,78.57,2015,8150,2
59349,60.12,2015,8150,1
59350,69.13,2015,8150,8
59351,76.22,2015,8150,5
59352,55.92,2015,8150,7
59353,75.88,2015,8150,3
59354,59.83,2015,8150,4
59355,70.76,2015,8151,2
59356,50.32,2015,8151,1
59357,59.3,2015,8151,8
59358,67,2015,8151,5
59359,55.81,2015,8151,7
59360,71,2015,8151,6
59361,67.55,2015,8151,3
59362,69.57,2015,8151,9
59363,52.5,2015,8151,4
59364,74.77,2015,8152,2
59365,56.14,2015,8152,1
59366,65.03,2015,8152,8
59367,61.66,2015,8152,7
59368,69.75,2015,8152,9
59369,48.57,2015,8152,3
59370,60.33,2015,8152,4
59371,80.34,2015,8153,2
59372,55.46,2015,8153,1
59373,60.4,2015,8153,8
59374,67.5,2015,8153,5
59375,51.75,2015,8153,7
59376,77.85,2015,8153,3
59377,57,2015,8153,4
59378,75.57,2015,8154,2
59379,55.82,2015,8154,1
59380,67.28,2015,8154,8
59381,54.16,2015,8154,7
59382,64,2015,8154,9
59383,70.58,2015,8154,3
59384,57.37,2015,8154,4
59385,78.11,2015,8155,2
59386,69.74,2015,8155,1
59387,70.35,2015,8155,8
59388,66.36,2015,8155,7
59389,70,2015,8155,6
59390,63.66,2015,8155,11
59391,74.11,2015,8155,3
59392,69.83,2015,8155,9
59393,70.55,2015,8155,4
59394,72.5,2015,8156,2
59395,47.87,2015,8156,1
59396,55.17,2015,8156,8
59397,51.42,2015,8156,7
59398,78.48,2015,8157,2
59399,63.46,2015,8157,1
59400,72.44,2015,8157,8
59401,59.14,2015,8157,7
59402,60.5,2015,8157,11
59403,62,2015,8157,4
59404,68.83,2015,8158,2
59405,57.75,2015,8158,3
59406,56.61,2015,8158,1
59407,65.72,2015,8158,8
59408,52.33,2015,8158,7
59409,70.88,2015,8162,2
59410,54,2015,8162,1
59411,66.6,2015,8162,8
59412,57.75,2015,8162,5
59413,60,2015,8162,7
59414,68.9,2015,8163,2
59415,41.47,2015,8163,1
59416,53.11,2015,8163,8
59417,54,2015,8163,7
59418,71.93,2015,8164,2
59419,53.38,2015,8164,1
59420,56.38,2015,8164,8
59421,51.25,2015,8164,6
59422,65.6,2015,8164,9
59423,54.25,2015,8164,4
59424,71.9,2015,8165,2
59425,47.2,2015,8165,1
59426,63,2015,8165,8
59427,50.38,2015,8165,7
59428,51.8,2015,8166,2
59429,28.16,2015,8166,1
59430,44.48,2015,8166,8
59431,37.25,2015,8166,4
59432,77.4,2015,8167,2
59433,55.3,2015,8167,1
59434,58.91,2015,8167,8
59435,57.83,2015,8167,7
59436,77.8,2015,8168,2
59437,47.59,2015,8168,1
59438,61.7,2015,8168,8
59439,54.33,2015,8168,7
59440,64.71,2015,8168,6
59441,56.43,2015,8168,11
59442,58.67,2015,8168,3
59443,61.24,2015,8168,9
59444,59,2015,8168,4
59445,76.92,2015,8169,2
