fullname,address
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1561""","117463, г. Москва, Новоясеневский проспект, д.38, корп.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1566 ""Марьинская гимназия с кадетскими классами памяти героев Сталинградской битвы""","109652, г. Москва, ул. Люблинская, д. 173А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного языка № 1236""","127254, г. Москва, улица Яблочкова, дом 10"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1505 ""Московская городская педагогическая гимназия-лаборатория""","107061, г. Москва, улица 2-я Пугачевская, дом 6А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1411""","127566, г. Москва, Северный бульвар, д. 1 а"
"Муниципальное автономное общеобразовательное учреждение ""Лицей города Троицка""","142190, Московская обл., г. Троицк ул. Школьная, 10а"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1519""","123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением французского языка № 1286""","125480, г. Москва, ул. Героев Панфиловцев, д. 15"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1862""","117452, г. Москва, Черноморский б-р, д.6"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1512""","111538, г. Москва, ул. Косинская, д.24А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1208 имени Героя Советского Союза М.С.Шумилова""","109443, г. Москва, ул. Зеленодольская, дом 33, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1541""","119415, г. Москва, Проспект Вернадского, д. 55"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1270""","109004, г. Москва, Товарищеский пер., д. 21"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2116 ""Зябликово""","115682, г. Москва, Задонский пр., д.34, корп.3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением французского языка № 1095""","129281, г. Москва, ул. Енисейская, д. 32, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1492""","117041, г. Москва, ул. Адмирала Лазарева, д. 62, корп.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1212""","117574, г. Москва, ул. Вильнюсская, д.14"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1273""","117647, г. Москва, улица Академика Капицы, д.12"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Образовательный центр на проспекте Вернадского""","119571, г. Москва, Вернадского пр-т, д.127, корп.2"
Государственное бюджетное образовательное учреждение города Москвы лингвистический лицей № 1555,"119034, г.Москва, Хилков переулок, дом 3А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1532""","117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного (английского) языка № 1245""","117534, г. Москва, Кировоградская ул., д.42, корп.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1883 ""Бутово""","117042, г. Москва, улица Поляны, дом 53"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Пушкинский лицей № 1500""","101000, г. Москва, Милютинский пер., д.18, стр.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1420""","109444, г. Москва, ул. Ташкентская, д. 21, к.2"
