fullname,Сайт,Отчёт,Год отчёта,учащихся,Английский_егэ,,Французский_егэ,,Немецкий_егэ,,Русский_егэ,,География_егэ,,Обществознание_егэ,,Литература_егэ,,История_егэ,,Информатика_егэ,,Математика_егэ,,Химия_егэ,,Биология_егэ,,Физика_егэ,,address,lng,lat
Государственное бюджетное образовательное учреждение города Москвы лицей № 1535,http://lyc1535.mskobr.ru/,http://lyc1535.mskobr.ru/files/doklad_correct.pdf,2015,1108,89,,95,,78,,88,,84,,75,,77,,72,,83,,72,,81,,81,,76,,"119048 г. Москва, ул. Усачева, д.50",37.564931,55.725803
"Государственное образовательное учреждение специализированный учебно-научный центр-факультет Московского государственного университета имени М.В.Ломоносова, школа имени А.Н.Колмогорова",http://internat.msu.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121357, Москва, ул.Кременчугская, д.11",37.464508,55.719576
"Государственное бюджетное образовательное учреждение города Москвы центр образования № 57 ""Пятьдесят седьмая школа""",http://coc57.mskobr.ru,http://coc57.mskobr.ru/images/cms/data/osnovnye_principy_organizacii_deyatel_nosti.pdf,2014,1396,73.1,,90,,,,80.4,,76,,68.9,,71.7,,73,,78.4,,77.8,,67.8,,78.3,,73.7,,"119019 г. Москва, М.Знаменский пер.,д.7/10, стр.5",37.604987,55.748615
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Многопрофильный лицей № 1501""",http://lycc1501.mskobr.ru,http://lycc1501.mskobr.ru/files/public_report_2014_2015.pdf,2015,3356,74.4,45,78,19,74.5,20,77.1,331,76,2,62.9,96,64.9,14,56.1,34,64.7,38,59.1,219,72.9,115,72.9,125,62.6,80,"127055 г. Москва, Тихвинский пер., д. 3",37.595761,55.787705
"Государственное бюджетное образовательное учреждение города Москвы лицей ""Вторая школа""",http://lycuz2.mskobr.ru,http://lycuz2.mskobr.ru/report/,2014,453,84,10,,,,,85.1,78,,,64,18,50,2,66.5,4,80,34,86,79,75,4,80.5,2,78,64,"119333 Москва, улица Фотиевой д.18",37.556442,55.69798
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа-интернат ""Интеллектуал""",http://int.mskobr.ru,http://int.mskobr.ru/report/,2014,279,,,,,,,83,37,,,74,8,69,2,77,6,83,4,68,37,83,16,86,14,77,14,"121357 Москва, Кременчугская улица д.13",37.464607,55.718253
Средняя общеобразовательная школа № 179,http://schc179.mskobr.ru,http://schc179.mskobr.ru/files/Documents/publichnyj_doklad_rukovoditelya_sosh_179_mioo_2015.pdf,2015,468,77,30,92,1,,,83,125,81,1,66,26,57,4,60,8,81,56,80,109,70,10,78,10,75,65,"125009 Москва, Дмитровка Б. ул. д.5/6 стр.7",37.614734,55.759653
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1580 при МГТУ имени Н.Э.Баумана""",http://lycu1580.mskobr.ru,http://lycu1580.mskobr.ru/files/publichnyj_doklad_direktora_gbou_liceya_1580_28_08_15.pdf,2015,1159,74,50,,,,,82.41,352,78,4,69,25,68,1,77,4,72,144,79.15,352,69,9,66,8,77.34,348,"117639 г. Москва, Балаклавский проспект д. 6А",37.613018,55.641524
Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1329,http://sch1329.mskobr.ru,http://www.youblisher.com/p/1167967-%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9-%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4-%D0%B7%D0%B0-2014-2015-%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9-%D0%B3%D0%BE%D0%B4/,2015,463,82,30,94,1,58,1,73,72,,,70,36,72,5,69,9,73,9,60,72,68,7,70,7,70,6,"119602, г. Москва, ул. Никулинская, д.10",37.465002,55.668935
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицейско-гимназический комплекс на Юго-Востоке""",http://gym1599uv.mskobr.ru,http://lgkuv.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%201599.pptx,2015,1868,82,38,,,,,80,77,,,73,38,73,6,71,10,62,12,58,57,61,11,61,14,65,11,"109457 Москва, Зеленодольская улица д.32 к.6",37.766738,55.711584
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1502 при МЭИ""",http://lycg1502.mskobr.ru,http://lycg1502.mskobr.ru/files/pdf/public_report_2014_15.pdf.pdf,2015,1654,,,,,,,81,,,,,,,,,,,,62,,,,,,,,"111555, г. Москва, ул. Молостовых, д. 10А",37.830204,55.760282
