"id","name","address","city_id","inn","latitude","longitude","average_salary2012","average_salary2013","average_salary2014","chief","email","fullname","payments2012","payments2013","payments2014","phone","receipts2012","receipts2013","receipts2014","www","alias"
8595,"Гимназия №1799 ""Экополис"","107392, г. Москва, ул. Знаменская, д.12/4",13,"7718997948",55.801485,37.72113,,,57500,"Казакова Инна Владимировна","1080@edu.mos.ru","Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1799 «Экополис»",,,321206870,"7-499-1684653",,,,"gym1799.mskobr.ru","gym1799"
8596,"Лицей №1525","117334, г. Москва, ул.Косыгина, д.17",13,"",55.703038,37.554457,,,,,"dogm@mos.ru","Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»",,,,,,,,"lycg1525.mskobr.ru","lyc1525"
8597,"Школа №123","125009, г. Москва, Хлыновский туп., д.3, стр.5",13,"7703379868",55.757941,37.602436,,,,"Голова Татьяна Леонидовна","123@edu.mos.ru","Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123»",,,,"7-495-6902012",,,,"schuc123.mskobr.ru","123"
8598,"Гимназия №1389","111402, г. Москва, ул. Кетчерская, д.8А",13,"7720817663",55.742732,37.82546,,,,"Кругляков Константин Михайлович","1389@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы Вешняковская лингвистическая гимназия № 1389",,,,"7-495-3707881",,,,"sch1389u.mskobr.ru","gym1389"
8599,"Школа №1173","117519, г. Москва, ул.Чертановская, д.27",13,"7726008644",55.61658,37.594692,56560,46500,62400,"Родина Ирина Алексеевна","1173@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1173",99082388,225676146,240093627,"7-495-3130646",108967117,244361367,227888533,"sch1173.mskobr.ru","1173"
8600,"Гимназия №1595","111674, г. Москва, 2-я Вольская улица, дом 7, корпус 2",13,"7721692544",55.688121,37.923116,,,,"Силина Лада Владимировна","1595@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1595",,,,"8-499-2112610",,,,"gym1595.mskobr.ru","gym1595"
8601,"Школа №224","125212, г. Москва, Лениградское шоссе, д. 54",13,"7743021300",55.837803,37.484406,,,,"Головлева Инна Васильевна","224@edu.mos.ru","Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 224»",,,,"7-499-1564362",,,,"sch224s.mskobr.ru","224"
8602,"Петровский Кадетский корпус","125413, г. Москва, ул. Зеленоградская, д. 9",13,"7743075016",55.864636,37.515245,49828,58200,60800,"Збойкова Маргарита Васильевна","kad1702@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1702 «Петровский кадетский корпус»",58324899,58031684,68358286,"7-495-4530150",61385147,68116568,69168712,"schks1702.mskobr.ru","petrkadet"
8603,"Гимназия №1570","125040, г. Москва, 5-я улица Ямского поля, д. 28/32",13,"7714079640",55.789158,37.57713,,111111,111111,"Рубинская Светлана Петровна","1570@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1570",,,,"7-495-6127181",,,,"gym1570s.mskobr.ru","gym1570"
8604,"Школа №1650","109240, г. Москва, ул. Солянка, д. 14 А",13,"7709390240",55.752293,37.637389,,,,"Цацурова Тереза Агасиевна","1650@edu.mos.ru","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1650",,,,"7-495-6237493",,,,"schec1650.mskobr.ru","1650"
