LegalAddress,FullName,ShortName
"111123, г. Москва, ул. 1-я Владимирская, д.20",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Восточный»,ГБОУДО ДТДиМ «Восточный»
"125315, г. Москва, Коптевский Б. пр., д. 5",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»,ГКОУ СКОШИ № 2
"121069, г. Москва, ул. Поварская, д. 14",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 91»,ГБОУ школа № 91
"123154, г. Москва, улица Маршала Тухачевского, дом 20, корп. 1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Хорошево»,ГБОУ ДО ДТДМ «Хорошево»
"107553, г. Москва, ул.Большая Черкизовская, д.15",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Преображенский»,ГБОУДО «ДТДиМ «Преображенский»
"123242, г. Москва, ул.Дружинниковская, д.9, стр.2",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр развития творчества детей и юношества «Пресня»,ГБОУ ДО ЦРТДЮ «Пресня»
"117218, г. Москва, ул. Большая Черемушкинская, д.38",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Севастополец»,ГБОУ ДО ДТДиМ «Севастополец»
"117303, г. Москва, ул. Одесская, д. 12А","Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Московский детско-юношеский центр экологии, краеведения и туризма»",ГБОУДО МДЮЦ ЭКТ
"109029, г. Москва, ул.Б.Калитниковская, д.36, стр.1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 3»,ГБПОУ КСУ № 3
"125239, г. Москва, ул.Михалковская, д.13А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1223 «Лингвистический центр»,ГБОУ школа № 1223
"127206, г. Москва, Астрадамская ул., д. 5В",Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 766,ГБОУ детский сад № 766
"115569, г. Москва, Шипиловская ул., д. 17, к. 1, стр. 1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Юридический колледж»,ГБПОУ Юридический колледж
